MA0006.1_Ahr::Arnt	MA0854.1_Alx1	MA0634.1_ALX3	MA0853.1_Alx4	MA0007.3_Ar	MA1463.1_ARGFX	MA0151.1_Arid3a	MA0601.1_Arid3b	MA0602.1_Arid5a	MA0004.1_Arnt	MA0259.1_ARNT::HIF1A	MA1464.1_ARNT2	MA0603.1_Arntl	MA0874.1_Arx	MA1100.2_ASCL1	MA1631.1_ASCL1(var.2)	MA0816.1_Ascl2	MA0604.1_Atf1	MA1632.1_ATF2	MA0605.2_ATF3	MA0833.2_ATF4	MA1466.1_ATF6	MA0834.1_ATF7	MA0461.2_Atoh1	MA1467.1_ATOH1(var.2)	MA1468.1_ATOH7	MA1633.1_BACH1	MA0591.1_Bach1::Mafk	MA1101.2_BACH2	MA1470.1_BACH2(var.2)	MA0877.2_BARHL1	MA0635.1_BARHL2	MA0875.1_BARX1	MA1471.1_BARX2	MA1634.1_BATF	MA0462.2_BATF::JUN	MA0835.2_BATF3	MA0463.2_BCL6	MA0731.1_BCL6B	MA0607.1_Bhlha15	MA1472.1_BHLHA15(var.2)	MA0818.1_BHLHE22	MA1635.1_BHLHE22(var.2)	MA0817.1_BHLHE23	MA0464.2_BHLHE40	MA0636.1_BHLHE41	MA0876.1_BSX	MA0878.2_CDX1	MA0465.2_CDX2	MA1473.1_CDX4
91	78	210	127	133	31	146	175	92	66	94	126	91	262	104	78	54	34	65	83	2	27	68	0	0	0	0	0	38	5	24	3	51	16	78	28	71	12	92	53	196	123	95	38	21	0	0	24	76	4
7	43	16	0	1	1	9	25	17	38	0	18	87	0	8	3	6	15	8	89	32	18	5	51	14	9	25	14	13	29	60	33	3	22	3	5	0	0	3	86	47	16	9	20	0	3	19	63	32	0
4	11	18	8	0	10	3	19	10	3	0	5	40	0	27	11	0	114	0	2	0	0	6	24	11	8	0	30	19	1	1	3	20	0	0	5	3	12	21	0	7	0	0	15	28	31	0	0	9	5
68	20	4	78	138	90	29	50	40	104	32	64	74	26	22	25	240	208	85	137	88	81	20	59	8	6	159	30	234	404	126	7	100	125	14	78	24	51	24	229	201	16	116	27	117	78	69	29	85	266
0	1	4	0	5	0	9	0	51	1	1	2	0	8	0	4	0	0	0	22	0	1	7	0	0	0	0	8	0	36	13	0	2	2	188	1	0	1	38	0	0	0	4	0	4	35	24	59	0	25
24	3	25	10	0	0	0	0	12	83	1	0	3	0	0	0	0	25	0	0	0	6	112	4	37	1	8	1	10	10	0	0	0	0	0	2	0	1	0	0	0	0	1	0	10	0	3	7	0	10
16	166	78	49	331	59	109	170	35	56	321	20	297	100	227	18	24	187	24	54	49	44	80	115	21	355	137	61	35	313	11	46	105	341	213	43	62	56	160	30	2	55	45	12	66	211	0	200	79	23
17	23	36	21	20	53	35	23	21	15	27	47	41	12	25	9	44	35	12	14	27	57	9	19	41	20	13	6	11	13	44	69	22	30	64	46	26	44	17	22	2	5	16	33	7	90	14	14	30	12
0	12	0	2	2	2	0	0	0	13	2	2	2	10	0	2	0	3	4	2	0	0	8	8	2	0	6	2	0	0	12	6	2	2	2	1	6	18	6	1	3	24	0	4	22	4	2	6	18	0
4	11	0	0	2	0	0	4	10	8	8	4	4	0	46	0	4	22	1	10	43	23	27	11	2	5	2	2	11	7	8	27	6	3	5	0	4	2	10	10	17	0	0	0	10	0	15	3	0	4
6	0	16	6	28	4	27	4	12	34	2	12	29	37	31	11	6	26	2	10	4	0	2	14	4	39	29	2	11	8	6	12	8	0	2	8	0	11	2	20	2	12	4	6	23	0	8	6	6	1
4	4	1	5	4	0	10	6	3	2	8	2	2	14	1	0	6	2	0	0	0	0	12	0	6	0	9	4	4	5	2	6	0	5	6	0	2	4	8	13	8	4	2	16	4	6	2	4	34	2
0	1	6	12	4	2	2	4	2	6	10	9	10	3	0	4	8	2	0	0	0	4	0	2	0	2	5	6	0	4	8	8	2	4	14	4	2	5	4	4	6	2	6	8	3	8	0	2	6	2
6	70	1	5	4	51	38	43	23	2	40	8	6	5	11	4	4	0	29	2	7	3	12	3	12	12	19	1	15	0	6	1	2	5	0	13	6	7	3	2	12	10	15	5	3	9	32	26	17	3
6	31	10	8	20	54	4	43	50	8	21	33	129	17	118	11	8	38	1	10	8	43	3	19	13	38	14	22	37	25	11	15	18	13	17	88	6	11	9	29	11	9	17	4	46	15	4	38	19	9
0	27	19	4	13	19	9	5	12	2	3	15	0	21	11	0	13	15	6	8	10	7	10	3	10	5	17	8	26	2	10	15	8	2	11	8	0	13	1	10	6	8	9	7	4	17	10	27	1	57
51	29	5	6	0	12	1	4	0	10	12	4	8	5	10	4	5	6	4	2	12	6	21	1	2	8	2	2	29	10	16	3	23	10	18	4	28	20	7	19	0	5	19	10	8	6	10	5	11	0
3	37	1	4	60	2	26	7	15	89	10	11	8	21	16	37	54	18	7	6	34	7	1	9	19	25	43	28	76	43	12	14	31	85	34	8	23	14	18	16	21	6	11	19	21	24	10	17	7	16
1	0	8	2	3	15	7	8	0	18	30	8	2	9	33	1	4	0	1	7	19	4	51	2	26	22	42	19	4	8	4	57	7	3	20	37	17	25	28	9	9	20	17	62	24	6	15	3	14	10
3	11	7	7	4	11	0	1	4	0	2	0	1	0	1	5	5	2	1	6	6	4	6	4	5	0	8	3	6	1	5	0	5	5	6	2	2	2	7	5	2	2	1	4	1	0	0	0	6	4
3	3	2	2	1	2	0	0	2	3	7	7	10	24	14	5	6	5	6	11	0	8	4	2	7	1	5	7	20	10	10	11	4	1	4	0	2	19	11	1	0	1	2	12	7	0	11	1	4	1
0	0	1	1	18	2	0	3	7	2	6	2	2	3	4	1	17	3	4	1	16	11	1	5	7	10	22	3	17	23	7	9	5	3	0	22	14	52	0	1	8	22	4	18	5	10	7	21	11	18
1	11	5	4	3	1	1	15	2	8	2	2	5	1	4	9	1	11	1	10	3	2	2	2	10	6	1	2	4	5	2	0	1	2	2	7	5	5	6	2	1	10	5	7	11	2	5	2	1	9
26	75	12	157	76	49	20	22	2	6	8	5	8	2	6	0	4	2	5	5	17	3	0	3	10	2	27	3	2	8	43	36	1	3	2	0	0	2	4	12	0	15	26	4	6	69	2	6	11	134
42	79	135	27	4	1	2	24	53	125	42	42	2	3	0	13	74	7	13	48	30	100	53	7	9	32	14	37	0	4	6	8	39	5	1	14	13	30	20	9	31	57	14	3	2	11	17	82	76	18
0	17	3	14	9	3	2	3	10	1	5	14	2	0	5	7	7	13	1	5	5	1	8	11	1	2	10	10	1	0	2	6	6	7	0	6	8	1	2	6	3	1	0	12	0	2	0	0	0	3
7	7	17	11	1	6	10	9	10	5	24	7	19	27	17	14	15	12	22	11	4	10	0	106	24	11	21	1	0	0	0	0	0	14	0	0	6	51	11	27	0	9	0	5	7	1	8	19	6	29
19	16	1	11	1	6	6	2	24	8	13	56	5	21	5	5	5	9	7	7	10	10	5	2	9	4	9	1	5	9	28	30	25	27	3	12	12	9	3	32	15	17	9	10	20	13	1	15	4	14
14	4	12	15	3	7	0	19	3	10	28	0	0	35	5	13	11	15	12	3	2	7	3	27	3	20	46	10	38	18	6	29	29	17	15	54	25	3	19	6	15	3	10	18	39	65	20	2	6	3
2	32	1	6	0	2	0	12	0	4	7	3	8	8	8	4	4	2	0	0	1	2	8	0	2	8	19	7	92	0	8	2	4	12	4	4	4	0	0	2	0	2	36	2	0	4	2	13	2	2
0	8	4	2	19	21	26	24	23	26	40	4	26	2	37	20	38	14	6	28	8	27	30	2	24	6	37	20	10	25	43	13	12	22	34	10	40	35	4	6	12	10	2	0	4	2	22	2	20	2
2	2	2	11	12	5	16	8	6	0	4	4	2	0	8	2	8	6	2	2	0	4	4	2	44	20	2	2	6	66	8	2	4	18	0	12	7	6	4	2	4	2	2	0	14	2	2	12	8	14
